USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           2  0.0  0.0      0     0 ?        S    Apr19   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [pool_workqueue_release]
root           4  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/R-rcu_gp]
root           5  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/R-sync_wq]
root           6  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/R-kvfree_rcu_reclaim]
root           7  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/R-slub_flushwq]
root           8  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/R-netns]
root          10  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/0:0H-events_highpri]
root          13  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/R-mm_percpu_wq]
root          15  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [ksoftirqd/0]
root          16  0.0  0.0      0     0 ?        I    Apr19   0:10  \_ [rcu_preempt]
root          17  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [rcu_exp_par_gp_kthread_worker/0]
root          18  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [rcu_exp_gp_kthread_worker]
root          19  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [migration/0]
root          20  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [idle_inject/0]
root          21  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [cpuhp/0]
root          22  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [cpuhp/2]
root          23  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [idle_inject/2]
root          24  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [migration/2]
root          25  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [ksoftirqd/2]
root          27  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/2:0H-events_highpri]
root          28  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [cpuhp/4]
root          29  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [idle_inject/4]
root          30  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [migration/4]
root          31  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [ksoftirqd/4]
root          33  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/4:0H-events_highpri]
root          34  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [cpuhp/6]
root          35  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [idle_inject/6]
